id,resource_type,label,source_url,host,lessons,legacy_source_files,local_matches,suggested_action,status,new_url,notes
resource-0027,media-file,Earth Prayer,https://www.personalgrowthcourses.net/images/earthprayer.jpg,www.personalgrowthcourses.net,2,ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0028,link,encourage openness,https://www.WantToKnow.info,www.wanttoknow.info,2;17,trfc17a.php;ttcourse02b.php,,review-external-link,needs-review,,
resource-0029,link,http://www.dailygood.org,http://www.dailygood.org/,www.dailygood.org,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0030,link,https://www.personalgrowthcourses.net/stories/power_of_nightmares,https://www.personalgrowthcourses.net/stories/power_of_nightmares,www.personalgrowthcourses.net,2;11,tc11b.php;ttcourse02b.php,WTKvideos|exact-stem|/mnt/c/datasources/WTKvideos/POWER_OF_NIGHTMARES.mp4,review-local-video-candidate,needs-review,,
resource-0031,media,https://www.personalgrowthcourses.net/video/baby_laughing_pgc,https://www.personalgrowthcourses.net/video/baby_laughing_pgc,www.personalgrowthcourses.net,2;11,tc11b.php;ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0032,media,https://www.personalgrowthcourses.net/video/martin_luther_king_jr...,https://www.personalgrowthcourses.net/video/martin_luther_king_jr_mlk_assassination_video,www.personalgrowthcourses.net,2;11,tc11b.php;ttcourse02a.php,,review-legacy-hosted,needs-review,,
resource-0033,media,https://www.personalgrowthcourses.net/video/metaphormosis_pgc,https://www.personalgrowthcourses.net/video/metaphormosis_pgc,www.personalgrowthcourses.net,2;11,tc11b.php;ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0034,link,https://www.WantToKnow.info/mediacorruption,https://www.WantToKnow.info/mediacorruption,www.wanttoknow.info,2;11,tc11b.php;ttcourse02a.php;ttcourse02b.php,,review-external-link,needs-review,,
resource-0035,link,https://www.WantToKnow.info/mediainformation,https://www.WantToKnow.info/mediainformation,www.wanttoknow.info,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0036,link,https://www.WantToKnow.info/unconstitutionalcivil...,https://www.WantToKnow.info/unconstitutionalcivillibertiesloss,www.wanttoknow.info,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0037,link,Katharine Graham,https://www.WantToKnow.info/secrecygraham,www.wanttoknow.info,2,ttcourse02a.php;ttcourse02b.php,,review-external-link,needs-review,,
resource-0038,link,many groups,http://www.google.com/search?q=%22media+activist%22,www.google.com,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0039,media-file,Media Ownership Chart,https://www.personalgrowthcourses.net/images/media-ownership.gif,www.personalgrowthcourses.net,2,ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0040,media-file,media-confusedman.gif,https://www.personalgrowthcourses.net/images/media-confusedman.gif,www.personalgrowthcourses.net,2,ttcourse02a.php,,review-legacy-hosted,needs-review,,
resource-0041,media-file,newspaper_monitor.jpg,https://www.personalgrowthcourses.net/images/newspaper_monitor.jpg,www.personalgrowthcourses.net,2,ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0042,link,political and media representatives,https://www.WantToKnow.info/contactmediapoliticalrepresentatives,www.wanttoknow.info,2;4;6;8;10;12;14,tc10b.php;tc12b.php;trf14b.php;ttcourse02b.php;ttlesson04b.php;ttlesson06b.php;ttlesson08b.php,,review-external-link,needs-review,,
resource-0043,link,projectcensored.org,http://www.projectcensored.org,www.projectcensored.org,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0044,link,quality websites,https://www.WantToKnow.info/resources#uncensored,www.wanttoknow.info,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0045,media-file,same_old_news.jpg,https://www.personalgrowthcourses.net/sacred_cows/same_old_news.jpg,www.personalgrowthcourses.net,2,ttcourse02a.php,,review-legacy-hosted,needs-review,,
resource-0046,link,www.personalgrowthcourses.net,https://www.personalgrowthcourses.net/,www.personalgrowthcourses.net,2;21,trfc21c.php;ttcourse02b.php,,review-legacy-hosted,needs-review,,
resource-0047,link,www.WantToKnow.info/mass_media/censored/project-censored-2017,https://www.wanttoknow.info/mass_media/censored/project-censored-2017,www.wanttoknow.info,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0048,media-file,boss_unhappy_you.jpg,https://www.personalgrowthcourses.net/sacred_cows/boss_unhappy_you.jpg,www.personalgrowthcourses.net,3,ttcourse03a.php,,review-legacy-hosted,needs-review,,
resource-0049,link,Click Here,http://support.personalgrowthcourses.net/user/me/edit/Transformation+Course+-+Lesson+03,support.personalgrowthcourses.net,3,ttcourse03b.php,,review-external-link,needs-review,,
resource-0050,media-file,Heart Hands,https://www.personalgrowthcourses.net/images/heart-hands.jpg,www.personalgrowthcourses.net,3,ttcourse03b.php,,review-legacy-hosted,needs-review,,
resource-0051,link,http://www.actsofkindness.org,http://www.actsofkindness.org,www.actsofkindness.org,3,ttcourse03b.php,,review-external-link,needs-review,,
resource-0052,link,http://www.amazon...,http://www.amazon.com/exec/obidos/ASIN/1572242086/qid%3D1109939371?tag=wanttinfo-20,www.amazon.com,3,ttcourse03b.php,,review-external-link,needs-review,,
resource-0053,link,http://www.amazon.com/New-Earth...,http://www.amazon.com/New-Earth-Awakening-Lifes-Purpose/dp/0452287588?tag=wanttinfo-20,www.amazon.com,3;13,tc13b.php;ttcourse03b.php,,review-external-link,needs-review,,
resource-0054,link,http://www.self-i-dentity-through-hoopono...,http://www.self-i-dentity-through-hooponopono.com,www.self-i-dentity-through-hooponopono.com,3,ttcourse03b.php,,review-external-link,needs-review,,
resource-0055,link,http://www.wmitchell.com,https://web.archive.org/web/20160304122531/https://www.wmitchell.com/,web.archive.org,3,ttcourse03b.php,,review-archived-link,needs-review,,
resource-0056,link,https://landmarkworldwide.com,https://landmarkworldwide.com,landmarkworldwide.com,3,ttcourse03b.php,,review-external-link,needs-review,,
resource-0057,link,https://www.inspiringcommunity.org/inspiringstories0506#1,https://www.inspiringcommunity.org/inspiringstories0506#1,www.inspiringcommunity.org,3;11,tc11b.php;ttcourse03a.php,,review-external-link,needs-review,,
resource-0058,link,https://www.momentoflove.org/g/victim_or_creator_vs,https://www.momentoflove.org/g/victim_or_creator_vs,www.momentoflove.org,3;11;17,tc11b.php;trfc17a.php;ttcourse03a.php,,review-external-link,needs-review,,
resource-0059,link,https://www.personalgrowthcourses.net/stories/burks.breakthrough...,https://www.personalgrowthcourses.net/stories/burks.breakthroughwithdad,www.personalgrowthcourses.net,3;11,tc11b.php;ttcourse03a.php,,review-legacy-hosted,needs-review,,
resource-0060,link,https://www.personalgrowthcourses.net/stories/hendricks.chemistryofbl...,https://www.personalgrowthcourses.net/stories/hendricks.chemistryofblame1,www.personalgrowthcourses.net,3;11,tc11b.php;ttcourse03a.php,,review-legacy-hosted,needs-review,,
resource-0061,media,https://www.personalgrowthcourses.net/video/what_matters_w_mitch...,https://www.personalgrowthcourses.net/video/what_matters_w_mitchell_pgc,www.personalgrowthcourses.net,3;11,tc11b.php;ttcourse03a.php,,review-legacy-hosted,needs-review,,
resource-0062,media,https://www.personalgrowthcourses.net/video/wombat_all_is_one,https://www.personalgrowthcourses.net/video/wombat_all_is_one,www.personalgrowthcourses.net,3;11,tc11b.php;ttcourse03b.php,,review-legacy-hosted,needs-review,,
resource-0063,link,https://www.WantToKnow.info/070701imsorryiloveyoujoevitale,https://www.WantToKnow.info/070701imsorryiloveyoujoevitale,www.wanttoknow.info,3;8;9;11;14;17;20,tc09b.php;tc11b.php;trf14b.php;trfc17a.php;trfc20b.php;ttcourse03b.php;ttlesson08b.php,,review-external-link,needs-review,,
resource-0064,media-file,shell_cut.jpg,https://www.personalgrowthcourses.net/images/shell_cut.jpg,www.personalgrowthcourses.net,3,ttcourse03b.php,,review-legacy-hosted,needs-review,,
resource-0065,media-file,Soaring,https://www.personalgrowthcourses.net/images/seagullcircle.jpg,www.personalgrowthcourses.net,3,ttcourse03a.php,,review-legacy-hosted,needs-review,,
resource-0066,link,Alice in Wonderland,http://en.wikipedia.org/wiki/Alice_In_Wonderland,en.wikipedia.org,4,ttlesson04a.php,,review-external-link,needs-review,,
resource-0067,link,Click Here,http://support.personalgrowthcourses.net/user/me/edit/Transformation+Course+-+Lesson+04,support.personalgrowthcourses.net,4,ttlesson04b.php,,review-external-link,needs-review,,
